average_time_per_iteration1,average_time_per_iteration2,average_time_per_iteration3,average_time_per_iteration4,average_time_per_iteration5,average_time_per_iteration6,average_time_per_iteration7,average_time_per_iteration8,average_time_per_iteration9,average_time_per_iteration10,average_time_per_iteration11
0.0001107,0,0,0,0,0,0,0,0,0,0
7.52e-05,0,0,0,0,0,0,0,0,0,0
1.1e-05,0,0,0,0,0,0,0,0,0,0
8.7e-06,0,0,0,0,0,0,0,0,0,0
8.2e-06,0,0,0,0,0,0,0,0,0,0
9.6e-06,0,0,0,0,0,0,0,0,0,0
8.8e-06,0,0,0,0,0,0,0,0,0,0
8.6e-06,0,0,0,0,0,0,0,0,0,0
8.1e-06,0,0,0,0,0,0,0,0,0,0
8.4e-06,0,0,0,0,0,0,0,0,0,0
1.08e-05,0,0,0,0,0,0,0,0,0,0
